amount,date,price,tid,type,Datestamp
0.07204,1506884028,4276.03,22621849,1,2017-10-01 18:53:48
5.54196845,1506884022,4282.0,22621848,0,2017-10-01 18:53:42
2.73153684,1506884016,4282.0,22621847,0,2017-10-01 18:53:36
2.26846316,1506884016,4281.99,22621846,0,2017-10-01 18:53:36
0.05373684,1506884015,4281.99,22621845,0,2017-10-01 18:53:35
0.02,1506884005,4282.0,22621842,0,2017-10-01 18:53:25
0.3436944,1506883997,4282.0,22621840,0,2017-10-01 18:53:17
0.00264971,1506883993,4282.0,22621837,0,2017-10-01 18:53:13
0.5,1506883976,4282.0,22621830,0,2017-10-01 18:52:56
1.19098085,1506883962,4282.0,22621829,0,2017-10-01 18:52:42
0.034,1506883959,4280.0,22621828,0,2017-10-01 18:52:39
0.018,1506883959,4280.0,22621827,0,2017-10-01 18:52:39
6.786386,1506883959,4280.0,22621826,0,2017-10-01 18:52:39
4.12593457,1506883958,4280.0,22621825,0,2017-10-01 18:52:38
0.164,1506883958,4280.0,22621824,0,2017-10-01 18:52:38
57.77195018,1506883936,4280.0,22621821,0,2017-10-01 18:52:16
0.0157531,1506883904,4279.99,22621818,0,2017-10-01 18:51:44
0.01470617,1506883904,4279.99,22621817,0,2017-10-01 18:51:44
0.02712015,1506883876,4279.99,22621816,1,2017-10-01 18:51:16
0.04,1506883863,4279.99,22621814,1,2017-10-01 18:51:03
0.401106,1506883862,4280.0,22621813,0,2017-10-01 18:51:02
0.04,1506883850,4279.99,22621812,1,2017-10-01 18:50:50
0.05,1506883836,4279.99,22621810,1,2017-10-01 18:50:36
0.01324853,1506883832,4280.0,22621809,0,2017-10-01 18:50:32
0.05,1506883823,4279.99,22621808,1,2017-10-01 18:50:23
0.57175701,1506883822,4280.0,22621807,0,2017-10-01 18:50:22
0.03225727,1506883818,4280.0,22621799,0,2017-10-01 18:50:18
0.06,1506883810,4279.99,22621791,1,2017-10-01 18:50:10
0.078,1506883803,4280.0,22621790,0,2017-10-01 18:50:03
0.06,1506883797,4279.99,22621788,1,2017-10-01 18:49:57
0.07,1506883783,4279.99,22621786,1,2017-10-01 18:49:43
0.06856481,1506883774,4280.0,22621782,0,2017-10-01 18:49:34
0.08,1506883770,4279.99,22621781,1,2017-10-01 18:49:30
0.03159681,1506883770,4279.99,22621780,1,2017-10-01 18:49:30
0.06674848,1506883761,4280.0,22621772,0,2017-10-01 18:49:21
0.08,1506883757,4279.99,22621771,1,2017-10-01 18:49:17
0.1,1506883744,4279.99,22621769,1,2017-10-01 18:49:04
0.1,1506883742,4279.99,22621768,0,2017-10-01 18:49:02
0.00761563,1506883697,4279.97,22621766,0,2017-10-01 18:48:17
0.00931881,1506883697,4279.97,22621765,0,2017-10-01 18:48:17
0.01118694,1506883688,4279.99,22621763,0,2017-10-01 18:48:08
0.11507738,1506883663,4277.51,22621750,1,2017-10-01 18:47:43
0.02675938,1506883663,4277.52,22621749,1,2017-10-01 18:47:43
0.00264971,1506883654,4279.99,22621745,0,2017-10-01 18:47:34
0.08405919,1506883623,4279.99,22621742,0,2017-10-01 18:47:03
0.023149,1506883623,4279.99,22621741,0,2017-10-01 18:47:03
0.066851,1506883622,4279.99,22621740,0,2017-10-01 18:47:02
0.02,1506883614,4279.99,22621736,0,2017-10-01 18:46:54
10.0,1506883612,4280.0,22621735,0,2017-10-01 18:46:52
0.00268731,1506883607,4279.99,22621728,0,2017-10-01 18:46:47
0.06001182,1506883582,4279.99,22621718,0,2017-10-01 18:46:22
0.026877,1506883571,4279.96,22621714,0,2017-10-01 18:46:11
0.02,1506883518,4279.99,22621624,0,2017-10-01 18:45:18
9.88841913,1506883505,4280.0,22621622,0,2017-10-01 18:45:05
0.11158087,1506883504,4279.99,22621621,0,2017-10-01 18:45:04
0.02408186,1506883503,4279.01,22621619,1,2017-10-01 18:45:03
0.02841913,1506883502,4279.99,22621618,0,2017-10-01 18:45:02
1.0,1506883467,4280.0,22621581,0,2017-10-01 18:44:27
1.0,1506883464,4280.0,22621580,0,2017-10-01 18:44:24
1.0,1506883462,4280.0,22621579,0,2017-10-01 18:44:22
1.0,1506883459,4280.0,22621577,0,2017-10-01 18:44:19
3.73309112,1506883458,4280.0,22621576,0,2017-10-01 18:44:18
1.0,1506883457,4280.0,22621575,0,2017-10-01 18:44:17
0.15,1506883454,4279.99,22621574,0,2017-10-01 18:44:14
0.17,1506883448,4279.99,22621573,0,2017-10-01 18:44:08
1.0,1506883419,4279.99,22621567,0,2017-10-01 18:43:39
0.01324856,1506883410,4279.99,22621563,0,2017-10-01 18:43:30
0.01964065,1506883332,4279.99,22621543,0,2017-10-01 18:42:12
0.01027151,1506883257,4279.99,22621532,0,2017-10-01 18:40:57
0.06094777,1506883221,4279.99,22621529,0,2017-10-01 18:40:21
0.004011,1506883209,4279.91,22621527,0,2017-10-01 18:40:09
0.019788,1506883204,4279.91,22621524,0,2017-10-01 18:40:04
0.03413463,1506883149,4277.51,22621513,0,2017-10-01 18:39:09
0.004011,1506883142,4277.51,22621510,0,2017-10-01 18:39:02
0.00274331,1506883117,4277.51,22621503,0,2017-10-01 18:38:37
0.01531684,1506883093,4277.51,22621497,0,2017-10-01 18:38:13
0.00537699,1506883081,4277.51,22621494,0,2017-10-01 18:38:01
0.03841723,1506883057,4277.51,22621479,1,2017-10-01 18:37:37
0.02841913,1506883021,4279.99,22621473,0,2017-10-01 18:37:01
0.02185717,1506883015,4279.99,22621471,0,2017-10-01 18:36:55
0.03047273,1506882997,4279.99,22621469,0,2017-10-01 18:36:37
0.62905108,1506882984,4277.5,22621463,0,2017-10-01 18:36:24
0.0256,1506882959,4277.5,22621453,1,2017-10-01 18:35:59
0.252333,1506882941,4280.0,22621448,0,2017-10-01 18:35:41
0.82,1506882940,4280.0,22621447,0,2017-10-01 18:35:40
0.18,1506882940,4279.99,22621446,0,2017-10-01 18:35:40
1.0,1506882937,4280.0,22621445,0,2017-10-01 18:35:37
1.0,1506882935,4280.0,22621443,0,2017-10-01 18:35:35
0.2,1506882926,4279.99,22621441,1,2017-10-01 18:35:26
0.21390451,1506882922,4279.99,22621440,0,2017-10-01 18:35:22
0.00609549,1506882917,4279.99,22621439,0,2017-10-01 18:35:17
0.10720819,1506882903,4279.99,22621436,0,2017-10-01 18:35:03
0.00269762,1506882891,4279.99,22621433,0,2017-10-01 18:34:51
0.06100827,1506882844,4279.98,22621426,0,2017-10-01 18:34:04
0.02144168,1506882843,4279.98,22621425,0,2017-10-01 18:34:03
0.05428512,1506882840,4279.98,22621423,0,2017-10-01 18:34:00
0.0026917,1506882783,4279.99,22621414,0,2017-10-01 18:33:03
0.046502,1506882742,4279.99,22621406,0,2017-10-01 18:32:22
0.18229828,1506882708,4279.95,22621401,1,2017-10-01 18:31:48
0.81770172,1506882708,4279.93,22621400,0,2017-10-01 18:31:48
0.05379828,1506882707,4279.93,22621399,0,2017-10-01 18:31:47
0.1285,1506882704,4279.95,22621397,0,2017-10-01 18:31:44
0.8715,1506882704,4279.93,22621396,0,2017-10-01 18:31:44
0.39473668,1506882699,4278.0,22621395,0,2017-10-01 18:31:39
0.01219433,1506882682,4278.0,22621393,0,2017-10-01 18:31:22
0.01356552,1506882672,4278.0,22621388,0,2017-10-01 18:31:12
0.03032959,1506882668,4278.0,22621382,0,2017-10-01 18:31:08
0.04160978,1506882666,4278.0,22621380,0,2017-10-01 18:31:06
0.05362786,1506882663,4278.0,22621377,0,2017-10-01 18:31:03
0.0672257,1506882617,4278.0,22621371,0,2017-10-01 18:30:17
1.64375643,1506882613,4277.91,22621370,1,2017-10-01 18:30:13
0.1522,1506882613,4277.91,22621369,1,2017-10-01 18:30:13
0.8715,1506882613,4277.89,22621368,1,2017-10-01 18:30:13
1.31360752,1506882612,4270.0,22621367,0,2017-10-01 18:30:12
0.00165166,1506882610,4265.73,22621366,0,2017-10-01 18:30:10
0.16419766,1506882607,4267.19,22621364,1,2017-10-01 18:30:07
0.02716166,1506882578,4275.78,22621358,0,2017-10-01 18:29:38
0.0027441,1506882565,4273.99,22621357,0,2017-10-01 18:29:25
